,angles
251,-0.12961449324000068
252,-0.12827538489319254
253,-0.12706530874089034
254,-0.12593927861853507
255,-0.12488807631973085
256,-0.12390382418135096
257,-0.1229796379426058
258,-0.12244062822630428
259,-0.12223532007548589
260,-0.1223306711591486
261,-0.12269585335944924
262,-0.12330412272836118
263,-0.1241316026826979
264,-0.12515542743029726
265,-0.12635557059129354
266,-0.1277152541608835
267,-0.12921891450863104
268,-0.1308520079253407
269,-0.1326011843024157
270,-0.134455029058915
271,-0.1364032243685081
272,-0.1381580306586165
273,-0.1394457420852666
274,-0.14025012264968917
275,-0.14061983624388544
276,-0.14060146986803204
277,-0.14023245316172353
278,-0.1395486737021033
279,-0.13858217698886013
280,-0.13736013355154408
281,-0.13590802281169842
282,-0.13424942519428207
283,-0.1324033755912948
284,-0.13038848807107523
285,-0.12827313440761967
286,-0.12636425940145854
287,-0.12460839537933292
288,-0.12298992682833808
289,-0.12149681740408542
290,-0.12011543297832075
291,-0.11883506224213417
292,-0.11764468889527059
293,-0.11653665430330516
294,-0.1155014281897242
295,-0.11486205417768612
296,-0.11456707083156514
297,-0.11430338886056074
298,-0.11402832970029468
299,-0.1137424461991163
300,-0.11344818648254024
301,-0.11314539202948044
302,-0.11283543114870455
303,-0.11251878280946313
304,-0.11219700386680988
305,-0.11187005752823792
306,-0.11153774527760185
307,-0.1112003809337482
308,-0.11118959138911948
309,-0.11145941987742766
310,-0.11170472867885037
311,-0.11188801602362516
312,-0.11201485075806607
313,-0.11209049294818962
314,-0.11245050850894622
315,-0.11305440655398283
316,-0.11387752241833132
317,-0.11489886564263511
318,-0.11609800626858002
319,-0.11745735678098133
320,-0.11896021818835913
321,-0.12059248825060766
322,-0.12206281131637788
323,-0.12309417044639016
324,-0.1236668355660387
325,-0.1241805741843654
326,-0.12460681852612554
327,-0.12495451620441965
328,-0.12523082451125045
329,-0.12544243385881237
330,-0.12559554443201468
331,-0.12569490789271334
332,-0.12549022408333663
333,-0.12495165978676596
334,-0.12446486724740134
335,-0.12398916876309392
336,-0.1235248615979547
337,-0.12307001462334943
338,-0.12262360656936064
339,-0.12218526740085267
340,-0.12175321941862566
341,-0.12132686777672227
342,-0.12090479347492208
343,-0.12048658740566626
344,-0.12007363300365019
345,-0.11999481464184947
346,-0.1202036399670627
347,-0.12067178121461149
348,-0.12137274203825302
349,-0.1222825922798661
350,-0.12310340209885366
351,-0.12380710426644022
352,-0.12440464958854498
353,-0.12490776388622504
354,-0.12532595433691604
355,-0.1256678995898318
356,-0.12594138807752295
357,-0.12615343087940123
358,-0.12631036478902732
359,-0.12641794060432165
360,-0.1262221886941485
361,-0.12604489215272896
362,-0.12585156146936027
363,-0.12564635337220795
364,-0.12542705441260782
365,-0.12519396875570218
366,-0.1249484840119183
367,-0.12469156367340384
368,-0.12416771977626112
369,-0.12369412865772389
370,-0.12322974520803578
371,-0.12277324409378546
372,-0.12232394511484782
373,-0.12188115264460753
374,-0.12144422720806577
375,-0.12101262755039434
376,-0.12058831107774168
377,-0.12049969600581038
378,-0.120701824727144
379,-0.12116492399795606
380,-0.12186264046332615
381,-0.12277129484684506
382,-0.12386961007241522
383,-0.12486024997345312
384,-0.12571356864313812
385,-0.1261870623070645
386,-0.12625818643915482
387,-0.12631588155580603
388,-0.12632932789224127
389,-0.12663402283577088
390,-0.12718799523462024
391,-0.12828165720655768
392,-0.13016452578384502
393,-0.13277080077837844
394,-0.13571453170994763
395,-0.13866190532165626
396,-0.14131833838806623
397,-0.14367229545759624
398,-0.1457536009369564
399,-0.14758960045143413
400,-0.14894579324213666
401,-0.1498131213166237
402,-0.15058540173571586
403,-0.15157033683241558
404,-0.15273667438072996
405,-0.1540662696651492
406,-0.1555455878995544
407,-0.15688066383803065
408,-0.1577921170050279
409,-0.1582588813949563
410,-0.15867548545440477
411,-0.1587558555028478
412,-0.15847663439109677
413,-0.15787394067759591
414,-0.15732457537456104
415,-0.15679785727563872
416,-0.1560299168744985
417,-0.1549861524152133
418,-0.15369356068796275
419,-0.15252786182903966
420,-0.1511865419466232
421,-0.14962987711896908
422,-0.14787904719296463
423,-0.1462996911983195
424,-0.14484178680007187
425,-0.14349269859037872
426,-0.1422413691166825
