,Unnamed: 0,distance_x,distance_y,angles,follower_vx,follower_vy,follower_omega,leader_vx,leader_vy,leader_omega,leader_x,leader_y,follower_x,follower_y
28,28,1.847167329580427,-1.3210428853391996,-0.27527108374170345,-0.005177201165678696,-0.17631155716061112,-0.11187817374177274,0.2000034302473068,-1.0645116077512284e-07,-6.829434084920649e-08,-41.33907699584961,45.0,-43.519866943359375,45.72193908691406
29,29,1.8574306219138272,-1.3099089890324525,-0.27173274680613174,0.005456409900853693,-0.19370360195648237,-0.11056180792427804,0.2000027298927307,-9.301050596377537e-08,-9.665694733484997e-08,-41.33267593383789,45.0,-43.51406097412109,45.7118034362793
30,30,1.8671878501162738,-1.2982998159173238,-0.26823197237824226,0.02003762160194187,-0.20933240669976083,-0.10938886327186298,0.2000021785497665,-8.156715836094008e-08,-1.2321808640081144e-07,-41.32627487182617,45.0,-43.50672912597656,45.70203399658203
31,31,1.8763247779952712,-1.286259877679626,-0.26476494013227364,0.03816844106720925,-0.22337949888119468,-0.10833531712865,0.2000017315149307,-7.161764159491214e-08,-1.475416695484455e-07,-41.31987380981445,45.0,-43.49787139892578,45.69262313842773
32,32,1.8847386883450055,-1.2738297235946772,-0.2613282326366664,0.05949056518978214,-0.23600501373001367,-0.10738848235048501,0.2000013887882232,-6.276587782849674e-08,-1.6923750933983686e-07,-41.3134765625,45.0,-43.48748779296875,45.68355178833008
33,33,1.8923372072058176,-1.2610463367683515,-0.2579187905942941,0.08368200695132913,-0.24735220272471095,-0.10653725790236278,0.2000011056661605,-5.4705182606085145e-08,-1.8796495737660734e-07,-41.30707550048828,45.0,-43.47557067871094,45.6748161315918
34,34,1.899000564999335,-1.2482665956124208,-0.254698402239878,0.10570297809495657,-0.2575961798351668,-0.10063015582192435,0.2000008821487426,-4.720307700267768e-08,-2.0343533435607242e-07,-41.30067443847656,45.0,-43.46358108520508,45.66608047485352
35,35,1.9048281548502621,-1.2353272837493905,-0.25164340277373703,0.12545239185143228,-0.2716351553727683,-0.09546279418791974,0.2000007033348083,-4.0088952601990975e-08,-2.1541541173064618e-07,-41.29427719116211,45.0,-43.45128631591797,45.65582656860352
36,36,1.909749594755403,-1.2222345354045112,-0.24873636519783657,0.1480314515964572,-0.28445213779176737,-0.09083943076424876,0.2000005543231964,-3.3243448882558375e-08,-2.237294722817751e-07,-41.28787612915039,45.0,-43.43750381469727,45.64582061767578
37,37,1.9136941976196453,-1.2090030147330175,-0.24596220424062537,0.17333878722218135,-0.2959741837772619,-0.08668749190115702,0.2000004351139068,-2.658938846877845e-08,-2.282612996395983e-07,-41.28147506713867,45.0,-43.422176361083984,45.63614654541016
38,38,1.9165820610684352,-1.195952597292919,-0.2434650287355768,0.1962160466291975,-0.30641492190893516,-0.0780322274979462,0.2000003457069397,-2.0084220508920225e-08,-2.2895544304901705e-07,-41.27507400512695,45.0,-43.40681076049805,45.62646484375
39,39,1.9183613120462475,-1.1833592263156107,-0.2413688995235372,0.21660090966628234,-0.3158760069275143,-0.06550004450230389,0.2000002712011337,-1.3713436608497886e-08,-2.2581757264106275e-07,-41.2686767578125,45.0,-43.39148712158203,45.61677932739258
40,40,1.9192971878301481,-1.1711899525487959,-0.23963972906409578,0.22993427053337906,-0.32434842274763365,-0.054033088619249374,0.2000002264976501,-7.484747932551272e-09,-2.189140531072553e-07,-41.26227569580078,45.0,-43.37771224975586,45.60677337646485
41,41,1.9193329059825581,-1.159673007121492,-0.2383818356407184,0.24170256437580837,-0.33204144197265667,-0.03930601665503143,0.2000001668930053,-1.42331491037595e-09,-2.0837117631344881e-07,-41.25587463378906,45.0,-43.36398315429688,45.596771240234375
42,42,1.9184102216732122,-1.1490231082953293,-0.23769457741491484,0.2520951132332181,-0.3390118595143589,-0.02147398015075647,0.2000001370906829,4.432707978452299e-09,-1.9437285914136737e-07,-41.249473571777344,45.0,-43.35026931762695,45.58680725097656
43,43,1.916629743519868,-1.1391535871729803,-0.23752133343141515,0.26130488518073214,-0.34526474024478493,-0.005411244513515146,0.2000001072883606,1.003586636016962e-08,-1.771574034137302e-07,-41.24307632446289,45.0,-43.3365592956543,45.57690048217773
44,44,1.9140780734510232,-1.1299859291469054,-0.23781102562118683,0.2695769608306353,-0.35088122855684667,0.009055308626362515,0.2000000774860382,1.5332819458535596e-08,-1.5701445477134257e-07,-41.23667526245117,45.0,-43.32281112670898,45.56705856323242
45,45,1.9108325929186651,-1.1214495545168217,-0.23851785955580276,0.277016035344076,-0.3559334364926354,0.022090764754654914,0.200000062584877,2.026721723780156e-08,-1.3427977307856054e-07,-41.23027420043945,45.0,-43.30902099609375,45.55727767944336
46,46,1.9070795915194072,-1.113532606858566,-0.23962814865486803,0.2791301056377934,-0.36048564202149536,0.03469859085706646,0.2000000476837158,2.4782247365351395e-08,-1.0933034388926901e-07,-41.223876953125,45.0,-43.29659652709961,45.54720306396485
47,47,1.9030304558576092,-1.106173846809764,-0.2411020540414183,0.27600930583174643,-0.36456033188009107,0.04606143256033457,0.2000000327825546,2.882289429351204e-08,-8.257809014367012e-08,-41.21747589111328,45.0,-43.28568649291992,45.53678894042969
48,48,1.8988753861934793,-1.0993181112605623,-0.24290341823261338,0.26819018380369797,-0.36821249065909245,0.056294351398989514,0.2000000327825546,3.233795098367409e-08,-5.446369044648237e-08,-41.21107482910156,45.0,-43.276275634765625,45.52602005004883
49,49,1.8946538841799663,-1.092757097768631,-0.24499169309998772,0.2605402427005117,-0.3760406101177346,0.06525996438864912,0.2000000178813934,3.5281690458077726e-08,-2.5448915863535152e-08,-41.20467376708984,45.0,-43.266639709472656,45.51385116577149
50,50,1.8902193614312202,-1.0864632295559464,-0.24734621632157464,0.25823852781242235,-0.38346931258710126,0.07358034800473491,0.2000000178813934,3.761512346045493e-08,3.9901948412079954e-09,-41.19827651977539,45.0,-43.25550079345703,45.501983642578125
51,51,1.885433367651837,-1.0804093510202126,-0.24994120050721197,0.26116142896222566,-0.3902101122129431,0.08109472856805001,0.2000000178813934,3.930739822521901e-08,3.3371250651725866e-08,-41.19187545776367,45.0,-43.24276351928711,45.49058532714844
52,52,1.880171547915462,-1.0745697108171781,-0.2527525727384045,0.26880325580305603,-0.39630431855813897,0.08785686939256139,0.2000000029802322,4.0336473716706684e-08,6.221308268550274e-08,-41.18547439575195,45.0,-43.228424072265625,45.47967529296875
53,53,1.8744919752352744,-1.0687309581573963,-0.25573788920933793,0.2760299328386791,-0.40658628575589867,0.0932922695514269,0.2000000029802322,4.0690114389008165e-08,9.004412504509673e-08,-41.1790771484375,45.0,-43.21349334716797,45.4674072265625
54,54,1.8684118558710792,-1.0630616139056825,-0.2588996485462319,0.28272119016230174,-0.411572146111011,0.09880635748237736,0.2000000029802322,4.0365943476672335e-08,1.1640891983688563e-07,-41.17267608642578,45.0,-43.19882583618164,45.45650863647461
55,55,1.8619698497425894,-1.0577032498135457,-0.26222065349732615,0.28880689010721505,-0.4110791096329207,0.10378314801988334,0.2000000029802322,3.93720860358826e-08,1.4087675026530633e-07,-41.16627502441406,45.0,-43.18455123901367,45.44721221923828
56,56,1.8551998805497332,-1.0527835904014966,-0.26568492883725264,0.29436747848125155,-0.40562554382439087,0.10826070978287455,0.2000000029802322,3.772694157078149e-08,1.630477868275193e-07,-41.15987396240234,45.0,-43.17067337036133,45.43952941894531
57,57,1.8482813720250941,-1.0482717828559454,-0.2692768988098201,0.29479441600261796,-0.40023778542717364,0.11225130296388504,0.2000000029802322,3.5459084557487586e-08,1.825598872073897e-07,-41.15347671508789,45.0,-43.158199310302734,45.431640625
58,58,1.8413877264569536,-1.0441287586040118,-0.2729845032470372,0.29018812677757744,-0.3953477173880344,0.11586486521338733,0.2000000029802322,3.2606966016146544e-08,1.9909414561425365e-07,-41.14707565307617,45.0,-43.147220611572266,45.42333984375
59,59,1.8344095625797214,-1.0405294861447947,-0.2769159721175087,0.28558086873439076,-0.3909919944258576,0.12286033531703335,0.199999988079071,2.9218199415481653e-08,2.123806268627959e-07,-41.14067459106445,45.0,-43.13633728027344,45.4150505065918
60,60,1.827460546343264,-1.0374840825246694,-0.28108617188089363,0.2768778296233456,-0.38708954335916446,0.13032064110646646,0.199999988079071,2.5348924737045312e-08,2.2220245909920777e-07,-41.134273529052734,45.0,-43.12677383422852,45.406368255615234
61,61,1.8206966093618306,-1.03493735159459,-0.28547111917930784,0.2640075169731296,-0.3835507209450162,0.1370313340778053,0.199999988079071,2.1063016220068675e-08,2.283989886109339e-07,-41.12787628173828,45.0,-43.118690490722656,45.397239685058594
62,62,1.814299014637348,-1.0325217929335442,-0.2898676911240632,0.25193770075402705,-0.3802981295004627,0.13739444086148442,0.199999988079071,1.6431057403565322e-08,2.308690909558209e-07,-41.12147521972656,45.0,-43.11072540283203,45.38811111450195
63,63,1.8083773977423998,-1.029965891258598,-0.2941263305466605,0.24122217754628106,-0.37731472413079215,0.13308385478729695,0.199999988079071,1.1528981325170662e-08,2.295724641498964e-07,-41.11507415771485,45.0,-43.10269165039063,45.3790283203125
64,64,1.8030292743622027,-1.0270262603312856,-0.29811320191513596,0.2317309390911982,-0.3745865144759679,0.12459094122595808,0.199999988079071,6.4371352692660375e-09,2.2453018289070317e-07,-41.10867691040039,45.0,-43.0946044921875,45.36998748779297
65,65,1.7983461637060727,-1.023475257547211,-0.30170316236517813,0.2233348707624846,-0.3720777706888554,0.11218724702461931,0.199999988079071,1.2389990144967555e-09,2.1582445697276853e-07,-41.10227584838867,45.0,-43.08647155761719,45.3609733581543
66,66,1.7944075601185159,-1.019105107776682,-0.3047832107898771,0.21594961764829515,-0.3697967806387458,0.09625242811141348,0.199999988079071,-3.980388019186876e-09,2.035973096781163e-07,-41.09587478637695,45.0,-43.07830047607422,45.35196685791016
67,67,1.7912753406362052,-1.0137360970905664,-0.3072566202006202,0.20951058372036063,-0.3677051793570978,0.07729478548495118,0.199999988079071,-9.135684209127248e-09,1.8804817614181962e-07,-41.089473724365234,45.0,-43.070098876953125,45.34296417236328
68,68,1.789026306557326,-1.0074376416860142,-0.3091684768248911,0.19912448812283973,-0.3658162174554761,0.05974623519654403,0.199999988079071,-1.4142597315469631e-08,1.69430606433707e-07,-41.08307647705078,45.0,-43.06330871582031,45.33346939086914
69,69,1.7874273238965883,-1.0002940552823054,-0.31057387497865996,0.19425672699890642,-0.3642119602500286,0.04391931109257338,0.199999988079071,-1.8919291022712063e-08,1.480486986338292e-07,-41.07667541503906,45.0,-43.05519485473633,45.32437515258789
70,70,1.7862490813483907,-0.9923856726937569,-0.31152292704740625,0.19489937046064829,-0.36276620949556404,0.029658292495856872,0.199999988079071,-2.3387737968505465e-08,1.242510876409142e-07,-41.070274353027344,45.0,-43.04558181762695,45.31575775146485
71,71,1.7854375601306658,-0.9839344267534981,-0.31206066563271995,0.19571402238810565,-0.35675725035592887,0.01680511811105925,0.199999988079071,-2.7474928998572068e-08,9.842617743061056e-08,-41.06387710571289,45.0,-43.036380767822266,45.30855941772461
72,72,1.784953823133865,-0.9751504580218586,-0.31222755153069065,0.1964234894544289,-0.3463601740544287,0.005216309387044777,0.199999988079071,-3.11141619135924e-08,7.099529142351457e-08,-41.05747604370117,45.0,-43.02770614624024,45.30284881591797
73,73,1.784610608617567,-0.9660788106953198,-0.31206188594480605,0.2017815338996415,-0.33666879138457007,-0.005176498181918258,0.199999988079071,-3.42458861268824e-08,4.2405993383454195e-08,-41.05107498168945,45.0,-43.01765441894531,45.29768371582031
74,74,1.7842315489650693,-0.9567459757359409,-0.3115963398979329,0.21159474200851006,-0.32791803360975286,-0.014548231977789691,0.199999988079071,-3.681901006302724e-08,1.3124850539725232e-08,-41.04467391967773,45.0,-43.00609588623047,45.29298400878906
75,75,1.7839165497959488,-0.946948731115304,-0.31073280509408324,0.22076875996750248,-0.31997417432960723,-0.02698544098606922,0.199999988079071,-3.879150867192038e-08,-1.6370446331848143e-08,-41.03827667236328,45.0,-42.99445343017578,45.28828048706055
76,76,1.7835325332707912,-0.9366758503057145,-0.3094808310517312,0.23364212541724727,-0.3128411026856022,-0.0391244211823155,0.199999988079071,-4.013116949863616e-08,-4.5598476106079033e-08,-41.03187561035156,45.0,-42.98142623901367,45.28395080566406
77,77,1.7832088886702135,-0.925973889607571,-0.30787896665173536,0.2411771961654319,-0.3063579769784853,-0.05005840978298272,0.199999988079071,-4.0816122037767855e-08,-7.408258539953749e-08,-41.02547454833984,45.0,-42.96965408325195,45.279205322265625
78,78,1.7830936687294312,-0.914880142252191,-0.30596143799040704,0.2429738654439235,-0.30056083099734593,-0.059922923337879935,0.199999988079071,-4.083510773966737e-08,-1.0135774175523693e-07,-41.019073486328125,45.0,-42.95942687988281,45.2739372253418
79,79,1.7833204308542907,-0.9034289112453557,-0.3037597459287702,0.2395826232801006,-0.2953729650082452,-0.06880306871962233,0.199999988079071,-4.0187881467090853e-08,-1.2697906015546326e-07,-41.01267623901367,45.0,-42.95076370239258,45.26816177368164
80,80,1.783702973073122,-0.8916767231313792,-0.3013176490424209,0.24075699320764476,-0.2907762665184375,-0.07631571595875933,0.199999988079071,-3.888492017267709e-08,-1.5052837909479424e-07,-41.00627517700195,45.0,-42.94083786010742,45.262691497802734
81,81,1.7840861590612505,-0.8799401633460886,-0.2988207342825651,0.2420284879624647,-0.2866550614206823,-0.0780288279504345,0.199999988079071,-3.69475543493536e-08,-1.716214654834403e-07,-40.99987411499024,45.0,-42.93085479736328,45.2572135925293
82,82,1.7843327741541182,-0.8681850057112783,-0.2962573053779292,0.2477997481006207,-0.2829390582235604,-0.08010744456506665,0.199999988079071,-3.4407307225592376e-08,-1.8991420347447277e-07,-40.99347686767578,45.0,-42.91946792602539,45.25210189819336
83,83,1.7843182045863015,-0.8567071456850418,-0.2937990709253032,0.25327048353950576,-0.2796271428577855,-0.07682007949701156,0.199999988079071,-3.1305649628166066e-08,-2.0510809406459884e-07,-40.98707580566406,45.0,-42.907997131347656,45.24699401855469
84,84,1.7839579068403788,-0.8457463829941316,-0.29158598936568614,0.258071297281388,-0.2767040626805503,-0.06915907067984954,0.199999988079071,-2.7693181081644983e-08,-2.16955172049893e-07,-40.98067474365234,45.0,-42.89655685424805,45.24186325073242
