,Unnamed: 0,distance_x,distance_y,angles,follower_vx,follower_vy,follower_omega,leader_vx,leader_vy,leader_omega,leader_x,leader_y,follower_x,follower_y
10,10,2.1642433883538748,-0.023958209622569636,0.3659469393231438,0.010966966320019207,0.01120467328657515,-0.0935645186871802,0.10379219541929964,-2.0557717246537685e-08,-1.0853673693588405e-07,-6.9543070793151855,-4.5,-8.990856170654297,-3.704183340072632
11,11,2.166686732929132,-0.016003775345088036,0.3691048896912903,0.019399588348514945,0.015061525720028345,-0.09907613700364666,0.11342428615673902,-1.5551644185315544e-08,-1.0445240246479664e-07,-6.947902202606201,-4.5,-8.987431526184082,-3.7039272785186768
12,12,2.1691368931780888,-0.008096306991697253,0.37224676399864287,0.027446161993188056,0.01853486028403186,-0.09853537460328313,0.12209089241312017,-1.0709264644456665e-08,-9.699637678308063e-08,-6.941497802734375,-4.5,-8.983861923217773,-3.7037317752838135
13,13,2.171599648676869,-0.0005540142704137298,0.37522633841130915,0.034721679646827916,0.021657989565343948,-0.09342865009749983,0.12988902010219755,-6.096842194651311e-09,-8.667537596605283e-08,-6.935094356536865,-4.5,-8.980281829833984,-3.7035393714904794
14,14,2.1739178379916164,0.006673643864772782,0.37806579444253846,0.04612345590507221,0.024473813081214983,-0.08901794539074648,0.13690588215915078,-1.7728203377246412e-09,-7.396188688449308e-08,-6.928691864013672,-4.5,-8.975281715393066,-3.70395565032959
15,15,2.1761112344750475,0.013274615148528273,0.3806225714693463,0.05653593624516037,0.026988371301677964,-0.08015587593878923,0.1432198972099517,2.211690716983487e-09,-5.930275914586494e-08,-6.922289848327637,-4.5,-8.970231056213379,-3.70439338684082
16,16,2.178034770413224,0.019310376173100337,0.3829245559224483,0.07085615114763713,0.029258454149055896,-0.07216759085489896,0.1489015839034463,5.812666024058511e-09,-4.312500676389412e-08,-6.915887832641602,-4.5,-8.963729858398438,-3.705446481704712
17,17,2.1795554053103783,0.024836742394424793,0.3849970482452807,0.08874567493553759,0.03130800028600253,-0.06497268318434006,0.15401436133988006,8.993078745241056e-09,-2.5839352869150583e-08,-6.909486770629883,-4.5,-8.955757141113281,-3.707124948501587
18,18,2.1805533311947456,0.029904075127772073,0.3868628545997229,0.10984942744453967,0.03315791934691033,-0.05849280688716069,0.15861526945657106,1.1722910881447174e-08,-7.84195507590484e-09,-6.903085708618164,-4.5,-8.946310997009277,-3.70943021774292
19,19,2.1809206970498805,0.034557806845246175,0.38854252437332454,0.1338455566490908,0.03482720136608625,-0.05265728638616596,0.16275561439478314,1.3979208406321658e-08,1.0485301835243298e-08,-6.896684646606445,-4.5,-8.935391426086426,-3.71236252784729
20,20,2.1805604608028393,0.038838916923765905,0.3900545788369702,0.16044435102271015,0.03633309160142491,-0.047402377984188476,0.1664815478397958,1.5746150781632606e-08,2.8775633186098215e-08,-6.890284061431885,-4.5,-8.922998428344727,-3.715921878814697
21,21,2.1793853322716887,0.04278436354353836,0.391415699055385,0.18938512085551298,0.0376912236613275,-0.04267059939235284,0.16983458693685108,1.7015087053409644e-08,4.667901056905861e-08,-6.883883476257324,-4.5,-8.909133911132812,-3.720108985900879
22,22,2.1773167502926887,0.04642747314174303,0.3926409218286795,0.22043328117138988,0.03891575086732876,-0.03841012789894842,0.17285208072538946,1.778453814040204e-08,6.386442973224154e-08,-6.877482891082764,-4.5,-8.893796920776367,-3.724923849105835
23,23,2.174598626975456,0.04979829762637015,0.39374378325718545,0.2435008314026014,0.04001945144194518,-0.03457441918902206,0.17556763291009464,1.80601315697668e-08,8.002255563741944e-08,-6.871082782745361,-4.5,-8.87987995147705,-3.729130983352661
24,24,2.171311270610308,0.05260178095930274,0.39458606841127186,0.2641909980868652,0.04093090082339782,-0.02642051161395855,0.17801147639436898,1.785445871750946e-08,9.486858049688191e-08,-6.864682197570801,-4.5,-8.865995407104492,-3.733323812484741
25,25,2.1675128681205056,0.05503180605322232,0.3951864677842865,0.2827952293242831,0.03693842333487277,-0.01885218648076667,0.1802108133406941,1.718685617477117e-08,1.0814513848820988e-07,-6.858282089233398,-4.5,-8.852705001831055,-3.7388973236083984
26,26,2.1634093531437824,0.057132696945817255,0.3955687974253067,0.29468990454248956,0.03316313926949484,-0.012028717425113444,0.18219011824472284,1.6083093736337155e-08,1.196251222651966e-07,-6.851881980895996,-4.5,-8.840858459472656,-3.74391770362854
27,27,2.159191907209287,0.05893701538981585,0.3957547182761522,0.3003861941919241,0.029773057574791904,-0.005882913702707472,0.1839714151723105,1.4574978326939879e-08,1.2911430592497564e-07,-6.845481872558594,-4.5,-8.830483436584473,-3.7482964992523193
28,28,2.1548791713376017,0.06062632404752005,0.3957636894216739,0.305322757782833,0.021913727588739874,-0.0003462115681001467,0.18557451982226236,1.2699869837079613e-08,1.364536545193592e-07,-6.839081764221191,-4.5,-8.82075309753418,-3.754037857055664
29,29,2.1504691827469324,0.06255193444777217,0.3957707561341467,0.3097655368646648,0.014715885788756806,-0.00027995671872942205,0.18701726483338713,1.0500117521979434e-08,1.415212505588971e-07,-6.832681655883789,-4.5,-8.81104564666748,-3.75983476638794
30,30,2.145958267585032,0.06500786670466083,0.395926905627925,0.3137871318579316,0.008301101106904336,-0.0049327462110934995,0.1883156951102642,8.022418912156868e-09,1.4423375217594848e-07,-6.826281547546387,-4.5,-8.801335334777832,-3.765635013580322
